pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,3,475.65445026178,519.545454545455,43.8910042836744
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,4,674.607329842932,562.5,112.107329842932
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,1,671.989528795812,701.590909090909,29.6013802950977
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,2,404.973821989529,499.090909090909,94.1170871013801
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,3,475.65445026178,519.545454545455,43.8910042836744
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,4,674.607329842932,562.5,112.107329842932
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,1,458.900523560209,476.590909090909,17.6903855306997
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,2,218.062827225131,233.181818181818,15.1189909566873
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,3,437.958115183246,468.409090909091,30.450975725845
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,4,228.534031413613,259.772727272727,31.2386958591146
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,1,458.900523560209,476.590909090909,17.6903855306997
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,2,218.062827225131,233.181818181818,15.1189909566873
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,3,437.958115183246,468.409090909091,30.450975725845
11,21,M,danish,right,0.0,62,11_62,5,5,400,335.86387434555,130.330391631753,4,228.534031413613,259.772727272727,31.2386958591146
11,21,M,danish,right,0.0,63,11_63,4,4,600,593.589743589744,19.2572396758256,1,580.769230769231,625.909090909091,45.1398601398603
11,21,M,danish,right,0.0,63,11_63,4,4,600,593.589743589744,19.2572396758256,2,615.734265734266,683.181818181818,67.4475524475524
